tahun,judul,nominasi,menang_best_picture,poster_url
2010,The King's Speech,12,Ya,
2010,Inception,8,Tidak,
2010,The Social Network,8,Tidak,
2010,The Fighter,7,Tidak,
2010,Toy Story 3,5,Tidak,
2010,Alice in Wonderland,3,Tidak,
2010,Black Swan,5,Tidak,
2010,In a Better World,1,Tidak,
2010,The Lost Thing,1,Tidak,
2010,God of Love,1,Tidak,
2010,The Wolfman,1,Tidak,
2010,Strangers No More,1,Tidak,
2010,Inside Job,1,Tidak,
2011,The Artist,10,Ya,
2011,Hugo,11,Tidak,
2011,The Iron Lady,2,Tidak,
2011,The Descendants,5,Tidak,
2011,The Girl with the Dragon Tattoo,5,Tidak,
2011,Midnight in Paris,4,Tidak,
2011,The Help,4,Tidak,
2011,A Separation,2,Tidak,
2011,The Fantastic Flying Books of Mr. Morris Lessmore,1,Tidak,
2011,The Shore,1,Tidak,
2011,Undefeated,1,Tidak,
2011,The Muppets,1,Tidak,
2011,Saving Face,1,Tidak,
2011,Beginners,1,Tidak,
2011,Rango,1,Tidak,
2012,Argo,7,Ya,
2012,Life of Pi,11,Tidak,
2012,Les Misérables,8,Tidak,
2012,Lincoln,12,Tidak,
2012,Django Unchained,5,Tidak,
2012,Skyfall,5,Tidak,
2012,Silver Linings Playbook,8,Tidak,
2012,Zero Dark Thirty,5,Tidak,
2012,Amour,5,Tidak,
2012,Anna Karenina,4,Tidak,
2012,Paperman,1,Tidak,
2012,Brave,1,Tidak,
2012,Searching for Sugar Man,1,Tidak,
2012,Inocente,1,Tidak,
2012,Curfew,1,Tidak,
2013,12 Years a Slave,9,Ya,
2013,Gravity,10,Tidak,
2013,Dallas Buyers Club,6,Tidak,
2013,Frozen,2,Tidak,
2013,The Great Gatsby,2,Tidak,
2013,Her,5,Tidak,
2013,Blue Jasmine,3,Tidak,
2013,Mr Hublot,1,Tidak,
2013,The Lady in Number 6: Music Saved My Life,1,Tidak,
2013,Helium,1,Tidak,
2013,The Great Beauty,1,Tidak,
2013,20 Feet from Stardom,1,Tidak,
2014,Birdman,9,Ya,
2014,The Grand Budapest Hotel,9,Tidak,
2014,Whiplash,5,Tidak,
2014,The Imitation Game,8,Tidak,
2014,American Sniper,6,Tidak,
2014,Boyhood,6,Tidak,
2014,Interstellar,5,Tidak,
2014,The Theory of Everything,5,Tidak,
2014,Ida,2,Tidak,
2014,Selma,2,Tidak,
2014,Citizenfour,1,Tidak,
2014,Big Hero 6,1,Tidak,
2014,Crisis Hotline: Veterans Press 1,1,Tidak,
2014,The Phone Call,1,Tidak,
2014,Still Alice,1,Tidak,
2014,Feast,1,Tidak,
2015,Spotlight  ,6,Ya,
2015,Mad Max: Fury Road ,10,Tidak,
2015,The Revenant   ,12,Tidak,
2015,Bridge of Spies,6,Tidak,
2015,The Big Short  ,5,Tidak,
2015,The Danish Girl,4,Tidak,
2015,Room   ,4,Tidak,
2015,Ex Machina ,2,Tidak,
2015,The Hateful Eight  ,2,Tidak,
2015,Inside Out ,2,Tidak,
2015,Amy,1,Tidak,
2015,Bear Story ,1,Tidak,
2015,A Girl in the River: The Price of Forgiveness  ,1,Tidak,
2015,Son of Saul,1,Tidak,
2015,Spectre,1,Tidak,
2015,Stutterer  ,1,Tidak,
